word,weight,number_of_words
batel,-4,1
baterai,-3,1
batil,-4,1
batu,2,1
batu,-2,1
batu berdahak,-4,2
batu loncatan,-3,2
batuk,-4,1
batuk darah,-4,2
batuk kecil,-4,2
batuk kering,-3,2
batuk lelah,-4,2
batuk-batuk,-4,1
batung-batung,-4,1
bau,-4,1
bau kencur,-4,2
bau tanah,1,2
bau tanah,-4,2
bausuku,3,1
bawa,1,1
bawa,-3,1
bawaan,3,1
bawain,-3,1
bawel,-4,1
baya,-4,1
bayang,2,1
bayangan,3,1
bayang-bayang,3,1
bayangkara,3,1
bayar,1,1
bayar,-3,1
bayi,-3,1
bayu,-4,1
bebal,-3,1
beban,-5,1
bebas,-4,1
bebat,-3,1
bebel,-5,1
beber,3,1
beber,-2,1
bebodoran,2,1
becak,-5,1
becek,-4,1
becus,1,1
becus,-4,1
beda,-2,1
bedah,3,1
bedah,-3,1
bedegap,3,1
bedegap,-2,1
bedegong,-4,1
bedel,-4,1
bedeng,-3,1
bedol,-4,1
begadang,-3,1
begah,-2,1
begak,-3,1
begal,-5,1
begana-begini,-4,1
begini,-1,1
beginian,-3,1
begitu saja,-2,2
bego,-5,1
begu,-4,1
beguk,-4,1
begundal,-3,1
bejat,-5,1
bekal,3,1
bekap,-3,1
bekas,-3,1
bekicot,-4,1
belagu,4,1
belah,-5,1
belah ketupat,-4,2
belai,-4,1
belaian,-3,1
belain,-2,1
belajar,3,1
belaka,-1,1
belam,-3,1
belang,-5,1
belanja,2,1
belanja,-3,1
belas,2,1
belas,-3,1
belati,-4,1
belembang,-5,1
belendung,-3,1
belenggu,-3,1
beleter,-4,1
beli,2,1
beli,-3,1
belia,-2,1
beliin,-1,1
belikan,-1,1
beling,-1,1
belingsat,-4,1
belinjo,-3,1
belis,-4,1
belit,-3,1
beloh,-5,1
belok,3,1
belom,1,1
belom,-1,1
beloon,-3,1
belot,-5,1
belu-belai,-4,1
belukar,3,1
belulang,-3,1
benah hati,-3,2
benak kepala,3,2
benak kepala,-3,2
benang raja,4,2
benar,2,1
benar,-4,1
benar-benar,2,1
bencana,-5,1
bencat,-5,1
benci,4,1
benci,-5,1
bencong,-5,1
bendel,-5,1
bendera,-3,1
benderang,-3,1
bendoro,-4,1
bendu,-4,1
bendung,-3,1
bener,3,1
bener,-1,1
beneran,3,1
bengak,-5,1
bengal,-4,1
bengap,-3,1
bengis,-5,1
bengkak,-4,1
bengkak hati,-3,2
bengkerap,-4,1
bengkok,-4,1
bengok,-4,1
benguk,-2,1
bening,-4,1
benjut,-4,1
bentak,-5,1
bentakan,-5,1
bentan,-4,1
bentang,1,1
bentang,-3,1
bentrok,-5,1
bentuk,4,1
bentukan,3,1
bentul,-3,1
bentur,1,1
benyot,-4,1
beol,-5,1
bepergian,1,1
beperkara,-4,1
berada,4,1
beradu,-4,1
beradu lidah,-3,2
beradu mulut,-4,2
beraduk,-3,1
beragam,-3,1
berahi,5,1
berahi,-5,1
berair,-1,1
berak,-4,1
berak,-5,1
berak air,-4,2
berakal,4,1
berakar,2,1
berakar,-3,1
berakhlak,-4,1
berakibat,3,1
berakidah,4,1
beralas,4,1
beralasan,-4,1
beralaskan,-4,1
beralih,-3,1
beralih bentuk,-3,2
berambu-rambu,-4,1
beramuk,-4,1
beramuk-amukan,-4,1
beranak,3,1
beranak bercucu,-3,2
beranak cucu,-3,2
beranak pinak,-3,2
beranak-pinak,2,1
beranang,-3,1
beranda,1,1
beranda,-3,1
berandalan,-5,1
berang,-5,1
berangai,-5,1
berangan,-3,1
beranggar lidah,-3,2
berangkal,-3,1
berangkat,-4,1
berangsang,-5,1
berangsur,-3,1
beranjak,-3,1
berantak,-4,1
berantakan,-5,1
berantara,-3,1
berantem,-4,1
berapat-rapat,-3,1
berapit,-4,1
beraras,4,1
berarti,1,1
berasa,-2,1
berasak,-3,1
berasal,-3,1
berasimilasi,-3,1
berat ekor,-4,2
berat hati,-4,2
berat kepala,-5,2
berat otak,-4,2
berat pinggul,-2,2
berat tangan,-4,2
berat telinga,-3,2
berat tulang,-4,2
beraturan,4,1
berawan,-3,1
berbabil,-4,1
berbadan dua,-3,2
berbagai,3,1
berbagai macam,3,2
berbagi,2,1
berbahagia,4,1
berbahagia,-1,1
berbahaya,-4,1
berbakat,4,1
berbakat,-1,1
berbakti,-3,1
berbalik,-5,1
berbanding,-3,1
berbantah,-5,1
berbantahan,-3,1
berbayar,-3,1
berbecak-becak,-3,1
berbeda,-4,1
berbelit-belit,-4,1
berbenak,3,1
berbentuk,3,1
berbenturan,-4,1
berbetulan,3,1
berbiak,-3,1
berbicara,-3,1
berbisa,-5,1
berbobot,2,1
berbohong,-4,1
berbondong-bondong,-3,1
berbuah,2,1
berbudi pekerti yang baik,3,4
berbunga,3,1
berburu,-3,1
berburuk,-4,1
berbusana,4,1
bercahaya,4,1
bercak,-5,1
bercakar-cakaran,-4,1
bercanda,-4,1
